# ------------------------------------------------------------------------------
# BRIDGES : 1000 levels sorted by difficulty
#
# - Each line represents a single level, defined on a rectangular grid
# - Each line contains 4 comma-separated fields :
#   total nb of bridges, nb of rows for grid, nb of cols for grid, grid content
# - The grid content is defined by a string where each char represents a cell :
#   1,2,...,9 = number of bridges connected to the current cell
#   . = empty cell
# ------------------------------------------------------------------------------

3,4,4,1..2.......3...2
3,4,5,6...3..........5..2.
4,4,5,3............416..6.
5,4,6,.....21..........54..5.5
6,4,7,.....2............1711.3..5.
7,4,6,....64......3...93.1..2.
8,4,6,..1....4653.....2113....
9,4,7,.3.6..3...6..4.......1.373..
10,5,6,..3.6.2...5.7.4.2.......44...3
11,4,8,355...3...6.423..........4.6...3
12,4,4,.3.42656..56..32
13,5,8,.....4.5.....2..4.4..6..5...64......5.65
14,5,5,.475...5.1.667.25..2...33
15,5,5,4...66..56.1....3.634..53
16,4,4,252.3893..63254.
17,6,7,..4..5..3....12.6.5..2.43....9..65..64..54
18,5,6,..2.34...2.41..6.6.3.61.3746.6
19,4,5,263..2982.56.22665.2
20,5,6,.4.5.347..2..54.4.3665.5...476
21,6,9,4..6..5..5..2......2..32..13..4..6.....6..4.5.458....5
22,4,6,56.5.4996576..4.464.5..5
23,5,7,4..742.7.84.....66.82645.3741......
24,6,7,..27..634......73.43..4.97.55..7667.1....4
25,5,6,.36444265..3..5.4..44.5236.53.
26,5,11,....2.4....3.6...53.24...2.2..2.7..76..45..5..552.43...
27,4,9,6.8....2.548753..5...49.9.9.46.54955
28,4,7,35455.454.485.7.6.5774354..4
29,5,8,3..6.7.5355976...5.7..3.6.48....5..78863
30,6,9,..2.....2.44...1..49.3...8669..66.734555..4...46.4.3..
31,6,6,4.5664.597.3.4...367.5554556.33..2..
32,6,9,..65...414.78.546..4.75....794.43.3.6468..5..3........
33,4,12,.57..65...43.67..85.45.4.7.576...423362.4......2
34,5,9,5777.44....67967.......5985.68.64.6645.4..5..
35,8,8,.......33.6.2........2..678..54...8.4.565795.5.24786.46.......3.
36,6,9,556.85..45.9.6.5.4.497.4.2..75.3..5...57.566..6.78..4.
37,5,12,...65...4.4.3.4..4..9796........34.4.688.56..95.48....75.753
38,6,7,45443...664....9..74.693346487.6.4.5557..6
39,6,10,5..5..4.5..5878...6..77..5.4..997.7.235....22.3.5.4654.4.3.2
40,9,9,...34.......2.56.42...666.52.......5244.5.5...3..34.........646.665..4...4.8.74..
41,9,9,....35......3...326.895..456..53...361..1.5.6..6..4..65.....5.57.78.3...4465...2.
42,6,10,5..664.31...1.4678.2.3...6.5.5.....5.4.7.665.785.43446.4....
43,7,11,.2.4.47.2.....4..75.3.3......7.64...3.4.65.....5.45.6..4.582......4..5.452575
44,7,10,46..243....65......2.365...2.445987....85.5.61......3.7.53.454567...3.
45,7,10,...2..86.5.4..53.4..2..68.5..4...59.6..388.88..3..684.776..3.47734..2.
46,6,12,3.8...5.8566.26.3..2....3....5.7..2.75535.385...4...4.44..55..35.5653.3.
47,5,11,36.53...6.6394776.3.5734..6955..3..23..62.343...687.7.4
48,5,10,26.74.7553.75653.463..4..2....589.5.96865663..3.54
49,6,10,.69.64785..696..85.33..854597....757.776..66.446435.4.......
